Molecule Name,Smiles,Euclidean Distance,Permeability Value,Diameter
1-Methyladenosine,CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N,3.0098362,1.764225215,9.9
L-Kynurenine,NC1=CC=CC=C1C(=O)C[C@H](N)C(=O)O,3.0289428,2.050693333,10.41
Xestoaminol C,CCCCCCCCCCC[C@@H](O)[C@H](C)N,3.046946,17.12746173,14.75
L-Cystine,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,3.0722768,0.510433875,10.94
N-Acetylneuraminic acid,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](O)(C(=O)O)C[C@@H]1O,3.0770388,0.61948197,10.87
Guanosine,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,3.0949388,0.676351506,10.49
L-Ribulose,OCC1(O)OC[C@@H](O)[C@@H]1O,3.10504,3.708233312,6.21
Saccharin,O=S1(=O)N=C(O)C2=CC=CC=C21,3.1138606,12.18543649,7.27
Penicillin G,CC1(C)S[C@@H]2[C@H](NC(=O)CC3=CC=CC=C3)C(=O)N2[C@H]1C(=O)O,3.1239772,2.993095666,13.47
Leu-Arg-Asn-Arg,CC(C)CC(N)C(O)=NC(CCCNC(=N)N)C(O)=NC(CC(=N)O)C(O)=NC(CCCNC(=N)N)C(=O)O,3.1286683,0.17127716,15.96
Arg-Thr-Lys-Arg,CC(O)C(N=C(O)C(N)CCCNC(=N)N)C(O)=NC(CCCCN)C(O)=NC(CCCNC(=N)N)C(=O)O,3.1505134,0.171800074,21.17
Galactose 1-phosphate,O=P(O)(O)OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,3.1903129,0.456651207,8.32
Erythrose,OC1OC[C@@H](O)[C@H]1O,3.1944137,6.939643621,5.65
S-Adenosylhomocysteine,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,3.2245219,0.957033969,14.65
D-Alanyl-D-alanine,C[C@@H](N)C(=O)N[C@H](C)C(=O)O,3.2290206,1.947485842,7.43
Glutaminylhistidine,N=C(O)CC[C@H](N)C(O)=N[C@@H](CC1=CN=CN1)C(=O)O,3.256851,0.726476917,12.04
Calcidiol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,3.26686,10.79920232,17.04
Dimethyl-L-arginine,CN(C)/C(N)=N/CCC[C@H](N)C(=O)O,3.2747605,1.270814426,9.4
Guanosine monophosphate,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)C(=O)N1,3.2782016,0.956704002,12.92
Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,3.287568,0.394824613,10.88
Uridine,O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,3.3016198,3.413408995,8.64
D-Ribulose 5-phosphate,O=P(O)(O)OC[C@@H]1OC(O)[C@@H](O)[C@H]1O,3.318595,0.925927609,8.81
Cyclic AMP,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O,3.3259895,0.983456895,11.08
Arg-Arg-Arg,N=C(N)NCCCC(N)C(O)=NC(CCCNC(=N)N)C(O)=NC(CCCNC(=N)N)C(=O)O,3.3260994,0.154548779,13.8
Inosine,O=C1N=CNC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3.3411448,2.764664963,9.11
